  **************************************************
    VT Aerospace Aircraft Design Software Series
  **************************************************

                   Program idrag
  This program calculates the distribution of the
  normal force coefficient, induced drag, and span
  efficiency factor for nonplanar wings composed of
  multiple panels.  It is based on the paper entitled
  "Numerical Method to Calculate the Induced Drag or
  Optimum Loading for Arbitrary Non-planar Aircraft" 
  by James Blackwell, Jr., from NASA SP-405, Vortex-
  Lattice Utilization

  Written by Joel Grasmeyer.
  This program modified by
    - Andy Ko, 12/14/2000
    - L.T. Leifsson, Febuary 2004.

  The Department of Aerospace and Ocean Engineering,
  Virginia Tech, Blacksburg, VA 24061
  http://www.aoe.vt.edu, email: whmason@vt.edu

  **************************************************

idrag output file
goland_wing                                                             
    0    = input mode
    1    = write flag
    1    = symmetry flag
    0.09 = design lift coefficient
    0    = moment coefficient flag
    0.02 = design moment coefficient
    2.58 = x cg position
    0.25 = center of pressure for airfoil sections
  240.00 = reference area
    6.00 = reference chord
    2    = number of panels
 
    x        y        z    for panel 1
    0.00     0.00     0.00
    0.00    20.00     0.00
    6.00    20.00     0.00
    6.00     0.00     0.00
   40    = number of vortices
    0    = vortex spacing flag
 
    x        y        z    for panel 2
   16.00     0.00     0.30
   16.00     6.00     0.30
   19.00     6.00     0.30
   19.00     0.00     0.30
   12    = number of vortices
    0    = vortex spacing flag
 
    i   x        y        z        load     cn
    1   1.5000   0.2500   0.0000   0.1147   0.1147
    2   1.5000   0.7500   0.0000   0.1147   0.1147
    3   1.5000   1.2500   0.0000   0.1146   0.1146
    4   1.5000   1.7500   0.0000   0.1145   0.1145
    5   1.5000   2.2500   0.0000   0.1143   0.1143
    6   1.5000   2.7500   0.0000   0.1141   0.1141
    7   1.5000   3.2500   0.0000   0.1139   0.1139
    8   1.5000   3.7500   0.0000   0.1137   0.1137
    9   1.5000   4.2500   0.0000   0.1134   0.1134
   10   1.5000   4.7500   0.0000   0.1130   0.1130
   11   1.5000   5.2500   0.0000   0.1127   0.1127
   12   1.5000   5.7500   0.0000   0.1123   0.1123
   13   1.5000   6.2500   0.0000   0.1118   0.1118
   14   1.5000   6.7500   0.0000   0.1109   0.1109
   15   1.5000   7.2500   0.0000   0.1099   0.1099
   16   1.5000   7.7500   0.0000   0.1087   0.1087
   17   1.5000   8.2500   0.0000   0.1075   0.1075
   18   1.5000   8.7500   0.0000   0.1061   0.1061
   19   1.5000   9.2500   0.0000   0.1046   0.1046
   20   1.5000   9.7500   0.0000   0.1031   0.1031
   21   1.5000  10.2500   0.0000   0.1014   0.1014
   22   1.5000  10.7500   0.0000   0.0996   0.0996
   23   1.5000  11.2500   0.0000   0.0977   0.0977
   24   1.5000  11.7500   0.0000   0.0957   0.0957
   25   1.5000  12.2500   0.0000   0.0935   0.0935
   26   1.5000  12.7500   0.0000   0.0912   0.0912
   27   1.5000  13.2500   0.0000   0.0887   0.0887
   28   1.5000  13.7500   0.0000   0.0861   0.0861
   29   1.5000  14.2500   0.0000   0.0832   0.0832
   30   1.5000  14.7500   0.0000   0.0802   0.0802
   31   1.5000  15.2500   0.0000   0.0769   0.0769
   32   1.5000  15.7500   0.0000   0.0734   0.0734
   33   1.5000  16.2500   0.0000   0.0695   0.0695
   34   1.5000  16.7500   0.0000   0.0654   0.0654
   35   1.5000  17.2500   0.0000   0.0607   0.0607
   36   1.5000  17.7500   0.0000   0.0556   0.0556
   37   1.5000  18.2500   0.0000   0.0497   0.0497
   38   1.5000  18.7500   0.0000   0.0429   0.0429
   39   1.5000  19.2500   0.0000   0.0345   0.0345
   40   1.5000  19.7500   0.0000   0.0232   0.0232
   41  16.7500   0.2500   0.3000   0.0034   0.0067
   42  16.7500   0.7500   0.3000   0.0033   0.0066
   43  16.7500   1.2500   0.3000   0.0032   0.0065
   44  16.7500   1.7500   0.3000   0.0031   0.0062
   45  16.7500   2.2500   0.3000   0.0030   0.0059
   46  16.7500   2.7500   0.3000   0.0028   0.0055
   47  16.7500   3.2500   0.3000   0.0025   0.0051
   48  16.7500   3.7500   0.3000   0.0023   0.0045
   49  16.7500   4.2500   0.3000   0.0019   0.0039
   50  16.7500   4.7500   0.3000   0.0016   0.0031
   51  16.7500   5.2500   0.3000   0.0012   0.0023
   52  16.7500   5.7500   0.3000   0.0007   0.0013
 
    0.09316 = actual lift coefficient
    0.01493 = actual moment coefficient
    0.00041 = induced drag coefficient
    1.01262 = span efficiency factor

 Run completed successfully.

