  **************************************************
    VT Aerospace Aircraft Design Software Series
  **************************************************

                   Program idrag
  This program calculates the distribution of the
  normal force coefficient, induced drag, and span
  efficiency factor for nonplanar wings composed of
  multiple panels.  It is based on the paper entitled
  "Numerical Method to Calculate the Induced Drag or
  Optimum Loading for Arbitrary Non-planar Aircraft" 
  by James Blackwell, Jr., from NASA SP-405, Vortex-
  Lattice Utilization

  Written by Joel Grasmeyer.
  This program modified by
    - Andy Ko, 12/14/2000
    - L.T. Leifsson, Febuary 2004.

  The Department of Aerospace and Ocean Engineering,
  Virginia Tech, Blacksburg, VA 24061
  http://www.aoe.vt.edu, email: whmason@vt.edu

  **************************************************

idrag output file
goland_wing                                                             
    0    = input mode
    1    = write flag
    0    = symmetry flag
    0.09 = design lift coefficient
    0    = moment coefficient flag
    0.02 = design moment coefficient
    2.58 = x cg position
    0.25 = center of pressure for airfoil sections
  240.00 = reference area
    6.00 = reference chord
    2    = number of panels
 
    x        y        z    for panel 1
    0.00     0.00     0.00
    0.00    20.00     0.00
    6.00    20.00     0.00
    6.00     0.00     0.00
   40    = number of vortices
    0    = vortex spacing flag
 
    x        y        z    for panel 2
   16.00     0.00     0.30
   16.00     6.00     0.30
   19.00     6.00     0.30
   19.00     0.00     0.30
   12    = number of vortices
    0    = vortex spacing flag
 
    i   x        y        z        load     cn
    1   1.5000   0.2500   0.0000   0.0462   0.0462
    2   1.5000   0.7500   0.0000   0.0691   0.0691
    3   1.5000   1.2500   0.0000   0.0877   0.0877
    4   1.5000   1.7500   0.0000   0.1042   0.1042
    5   1.5000   2.2500   0.0000   0.1193   0.1193
    6   1.5000   2.7500   0.0000   0.1333   0.1333
    7   1.5000   3.2500   0.0000   0.1465   0.1465
    8   1.5000   3.7500   0.0000   0.1590   0.1590
    9   1.5000   4.2500   0.0000   0.1710   0.1710
   10   1.5000   4.7500   0.0000   0.1824   0.1824
   11   1.5000   5.2500   0.0000   0.1934   0.1934
   12   1.5000   5.7500   0.0000   0.2040   0.2040
   13   1.5000   6.2500   0.0000   0.2140   0.2140
   14   1.5000   6.7500   0.0000   0.2196   0.2196
   15   1.5000   7.2500   0.0000   0.2236   0.2236
   16   1.5000   7.7500   0.0000   0.2268   0.2268
   17   1.5000   8.2500   0.0000   0.2292   0.2292
   18   1.5000   8.7500   0.0000   0.2310   0.2310
   19   1.5000   9.2500   0.0000   0.2322   0.2322
   20   1.5000   9.7500   0.0000   0.2327   0.2327
   21   1.5000  10.2500   0.0000   0.2328   0.2328
   22   1.5000  10.7500   0.0000   0.2322   0.2322
   23   1.5000  11.2500   0.0000   0.2310   0.2310
   24   1.5000  11.7500   0.0000   0.2293   0.2293
   25   1.5000  12.2500   0.0000   0.2270   0.2270
   26   1.5000  12.7500   0.0000   0.2240   0.2240
   27   1.5000  13.2500   0.0000   0.2205   0.2205
   28   1.5000  13.7500   0.0000   0.2162   0.2162
   29   1.5000  14.2500   0.0000   0.2113   0.2113
   30   1.5000  14.7500   0.0000   0.2056   0.2056
   31   1.5000  15.2500   0.0000   0.1990   0.1990
   32   1.5000  15.7500   0.0000   0.1916   0.1916
   33   1.5000  16.2500   0.0000   0.1831   0.1831
   34   1.5000  16.7500   0.0000   0.1735   0.1735
   35   1.5000  17.2500   0.0000   0.1625   0.1625
   36   1.5000  17.7500   0.0000   0.1498   0.1498
   37   1.5000  18.2500   0.0000   0.1350   0.1350
   38   1.5000  18.7500   0.0000   0.1173   0.1173
   39   1.5000  19.2500   0.0000   0.0951   0.0951
   40   1.5000  19.7500   0.0000   0.0642   0.0642
   41  16.7500   0.2500   0.3000   0.0278   0.0556
   42  16.7500   0.7500   0.3000   0.0340   0.0681
   43  16.7500   1.2500   0.3000   0.0364   0.0729
   44  16.7500   1.7500   0.3000   0.0368   0.0736
   45  16.7500   2.2500   0.3000   0.0358   0.0716
   46  16.7500   2.7500   0.3000   0.0338   0.0676
   47  16.7500   3.2500   0.3000   0.0310   0.0620
   48  16.7500   3.7500   0.3000   0.0275   0.0551
   49  16.7500   4.2500   0.3000   0.0235   0.0469
   50  16.7500   4.7500   0.3000   0.0188   0.0377
   51  16.7500   5.2500   0.3000   0.0136   0.0273
   52  16.7500   5.7500   0.3000   0.0078   0.0156
 
    0.09316 = actual lift coefficient
    0.00638 = actual moment coefficient
    0.00160 = induced drag coefficient
    0.25860 = span efficiency factor

 Run completed successfully.

